return_id,order_id,return_date,return_reason
145,516166,2024-07-22,Wrong Item Shipped
146,978043,2024-07-05,Size Issue
147,711244,2024-05-03,Wrong Item Shipped
148,400236,2024-09-27,Changed Mind
149,438321,2024-03-14,Defective Product
150,312514,2024-10-20,Defective Product
151,200186,2024-06-03,Defective Product
152,457523,2025-01-20,Changed Mind
153,218445,2024-05-27,Changed Mind
154,761264,2024-11-02,Arrived Damaged
155,655738,2024-03-06,Changed Mind
156,658239,2024-04-21,Size Issue
157,71257,2024-08-18,Wrong Item Shipped
158,395315,2024-01-22,Defective Product
159,551712,2024-02-02,Defective Product
160,185064,2024-05-20,Size Issue
161,333007,2024-12-09,Defective Product
162,834517,2024-04-21,Defective Product
163,566125,2024-05-04,Defective Product
164,879620,2024-11-26,Arrived Damaged
165,714706,2024-11-06,Size Issue
166,655915,2024-09-24,Arrived Damaged
167,76333,2024-06-29,Wrong Item Shipped
168,87733,2024-03-15,Arrived Damaged
169,18791,2024-07-18,Defective Product
170,535119,2024-07-04,Wrong Item Shipped
171,737405,2024-03-11,Wrong Item Shipped
172,653813,2024-05-22,Arrived Damaged
173,442594,2024-05-01,Wrong Item Shipped
174,331554,2024-10-02,Defective Product
175,475976,2024-05-16,Wrong Item Shipped
176,124770,2024-11-19,Wrong Item Shipped
177,554763,2024-09-06,Defective Product
178,940069,2024-07-15,Changed Mind
179,773382,2024-08-17,Wrong Item Shipped
180,683682,2024-04-17,Arrived Damaged
181,166724,2024-09-26,Changed Mind
182,245639,2024-10-30,Wrong Item Shipped
183,518679,2024-07-27,Wrong Item Shipped
184,770753,2024-03-17,Wrong Item Shipped
185,7118,2024-07-23,Arrived Damaged
186,690157,2024-01-26,Arrived Damaged
187,625807,2025-01-09,Size Issue
188,650454,2024-01-29,Arrived Damaged
189,248909,2024-06-13,Wrong Item Shipped
190,627218,2024-10-18,Defective Product
191,218664,2024-01-19,Size Issue
192,244325,2024-02-03,Wrong Item Shipped
193,650102,2024-12-01,Arrived Damaged
194,292259,2024-12-28,Changed Mind
195,648619,2024-12-19,Arrived Damaged
196,867455,2024-12-04,Arrived Damaged
197,949145,2024-03-12,Defective Product
198,950358,2024-05-08,Defective Product
199,655464,2024-09-24,Size Issue
200,553455,2024-08-30,Size Issue
201,317612,2024-10-07,Defective Product
202,972142,2024-04-12,Defective Product
203,417704,2024-10-18,Wrong Item Shipped
204,29732,2024-07-27,Wrong Item Shipped
205,372377,2024-04-20,Size Issue
206,595284,2024-07-20,Changed Mind
207,250887,2024-10-15,Wrong Item Shipped
208,223999,2024-02-13,Defective Product
209,424761,2024-02-28,Size Issue
210,788894,2024-06-29,Size Issue
211,8891,2025-01-07,Changed Mind
212,303375,2024-07-24,Changed Mind
213,375519,2024-09-14,Wrong Item Shipped
214,865655,2024-10-14,Arrived Damaged
215,59591,2024-03-09,Wrong Item Shipped
216,371187,2024-01-30,Changed Mind
217,939835,2024-06-14,Size Issue
218,355182,2024-08-06,Changed Mind
219,171868,2025-01-01,Size Issue
220,362794,2024-09-13,Defective Product
221,231675,2024-03-27,Defective Product
222,752821,2024-06-09,Changed Mind
223,278750,2024-03-10,Wrong Item Shipped
224,618047,2024-09-27,Changed Mind
225,583219,2024-12-12,Arrived Damaged
226,172297,2024-01-30,Size Issue
227,981107,2024-06-27,Changed Mind
228,361441,2024-03-18,Defective Product
229,689254,2024-05-22,Size Issue
230,602218,2024-06-28,Wrong Item Shipped
231,127941,2024-05-23,Defective Product
232,989210,2024-01-12,Defective Product
233,863694,2024-12-03,Changed Mind
234,613852,2024-10-08,Defective Product
235,464391,2024-04-05,Defective Product
236,749329,2024-04-16,Arrived Damaged
237,884070,2024-03-01,Arrived Damaged
238,449977,2024-08-31,Defective Product
239,287541,2024-07-09,Changed Mind
240,705446,2024-01-19,Changed Mind
241,124640,2024-09-17,Arrived Damaged
242,677964,2024-11-20,Defective Product
243,38585,2024-02-20,Changed Mind
244,838539,2025-01-20,Defective Product
245,343298,2024-07-20,Wrong Item Shipped
246,680123,2024-05-20,Defective Product
247,556670,2024-03-24,Arrived Damaged
248,281754,2024-07-25,Defective Product
249,391526,2024-09-29,Size Issue
250,938205,2024-05-25,Defective Product
251,463477,2024-11-15,Size Issue
252,698173,2024-02-05,Wrong Item Shipped
253,145981,2024-11-01,Size Issue
254,189555,2024-01-24,Size Issue
255,823142,2024-04-28,Wrong Item Shipped
256,769804,2024-10-01,Changed Mind
257,249884,2024-08-30,Size Issue
258,55013,2024-09-22,Defective Product
259,659774,2024-12-20,Defective Product
260,332814,2024-06-29,Wrong Item Shipped
261,183875,2024-03-14,Changed Mind
262,845778,2025-01-17,Wrong Item Shipped
263,752678,2024-03-29,Changed Mind
264,498046,2024-09-09,Arrived Damaged
265,300676,2024-07-07,Wrong Item Shipped
266,606495,2025-01-18,Changed Mind
267,960191,2024-12-08,Changed Mind
268,358879,2024-06-09,Defective Product
269,486412,2024-07-23,Changed Mind
270,921120,2024-09-27,Wrong Item Shipped
271,27267,2025-01-01,Wrong Item Shipped
272,150551,2024-09-05,Size Issue
273,221449,2024-10-20,Changed Mind
274,881237,2024-07-17,Arrived Damaged
275,82441,2024-10-15,Arrived Damaged
276,870632,2024-11-09,Wrong Item Shipped
277,956562,2024-06-30,Size Issue
278,926974,2024-06-26,Arrived Damaged
279,886107,2024-12-08,Defective Product
280,524279,2025-01-03,Arrived Damaged
281,975362,2024-11-26,Size Issue
282,484566,2024-02-14,Defective Product
283,486562,2024-02-06,Wrong Item Shipped
284,161978,2025-01-07,Changed Mind
285,943281,2024-07-26,Wrong Item Shipped
286,207952,2024-06-03,Defective Product
287,734508,2024-09-03,Arrived Damaged
288,140625,2024-04-16,Size Issue
289,471264,2024-10-21,Defective Product
290,176888,2024-02-02,Defective Product
291,150562,2024-01-07,Wrong Item Shipped
292,875882,2024-12-06,Arrived Damaged
293,421001,2024-11-05,Wrong Item Shipped
294,624336,2024-11-12,Arrived Damaged
295,601641,2024-10-04,Size Issue
296,588630,2024-12-29,Changed Mind
297,832555,2024-05-24,Size Issue
298,870579,2024-04-06,Size Issue
299,885825,2024-09-11,Wrong Item Shipped
300,275779,2024-12-13,Wrong Item Shipped
301,504700,2024-01-12,Changed Mind
302,42149,2024-09-05,Defective Product
303,545105,2024-01-23,Wrong Item Shipped
304,122703,2024-05-21,Size Issue
305,988905,2024-06-20,Wrong Item Shipped
306,507845,2024-07-05,Wrong Item Shipped
307,332706,2024-07-01,Arrived Damaged
308,585908,2024-09-30,Arrived Damaged
309,219083,2024-10-12,Arrived Damaged
310,78102,2024-02-21,Arrived Damaged
311,884921,2024-07-01,Defective Product
312,130635,2025-01-25,Arrived Damaged
313,193765,2024-04-27,Wrong Item Shipped
314,488921,2024-07-07,Arrived Damaged
315,289764,2024-07-01,Wrong Item Shipped
316,638948,2024-04-19,Changed Mind
317,246918,2024-09-19,Defective Product
318,822358,2024-04-05,Size Issue
319,733804,2024-07-07,Changed Mind
320,750021,2024-03-30,Wrong Item Shipped
321,451009,2024-06-29,Size Issue
322,800014,2024-09-16,Wrong Item Shipped
323,70173,2024-05-13,Defective Product
324,61202,2024-06-15,Changed Mind
325,708952,2024-03-11,Defective Product
326,767901,2024-03-07,Size Issue
327,913416,2024-03-03,Defective Product
328,639139,2024-08-31,Defective Product
329,810837,2024-09-19,Arrived Damaged
330,554191,2024-03-06,Size Issue
331,300231,2024-12-01,Size Issue
332,309410,2025-01-03,Defective Product
333,756123,2024-12-12,Defective Product
334,485028,2024-02-04,Wrong Item Shipped
335,879460,2024-05-15,Size Issue
336,641472,2024-06-25,Size Issue
337,945810,2024-08-24,Wrong Item Shipped
338,190438,2024-08-25,Changed Mind
339,296725,2024-08-31,Arrived Damaged
340,612640,2024-08-20,Size Issue
341,199730,2024-03-13,Arrived Damaged
342,935290,2024-04-16,Defective Product
343,659311,2024-01-20,Size Issue
344,8348,2024-03-20,Changed Mind
345,159362,2024-06-14,Size Issue
346,796490,2025-01-22,Changed Mind
347,526784,2024-07-02,Wrong Item Shipped
348,417486,2024-02-17,Arrived Damaged
349,704870,2024-06-09,Changed Mind
350,525288,2025-01-02,Arrived Damaged
351,589189,2024-04-03,Defective Product
352,311017,2024-11-27,Defective Product
353,371034,2024-04-02,Defective Product
354,471748,2024-08-25,Arrived Damaged
355,74127,2024-11-20,Defective Product
356,110585,2024-12-25,Size Issue
357,167911,2025-01-12,Arrived Damaged
358,596555,2024-08-17,Changed Mind
359,405932,2024-07-24,Arrived Damaged
360,704275,2024-01-29,Size Issue
361,355945,2024-01-23,Defective Product
362,714243,2024-05-26,Wrong Item Shipped
363,825163,2024-05-31,Wrong Item Shipped
364,899079,2024-08-18,Wrong Item Shipped
365,829609,2024-12-06,Defective Product
366,662821,2024-05-02,Size Issue
367,68222,2024-02-12,Arrived Damaged
368,598981,2024-11-17,Arrived Damaged
369,581451,2024-10-26,Size Issue
370,694346,2024-11-15,Size Issue
371,210569,2024-08-21,Defective Product
372,991702,2024-06-27,Size Issue
373,486331,2024-03-24,Defective Product
374,129019,2024-04-02,Defective Product
375,552721,2024-02-27,Arrived Damaged
376,38453,2024-08-04,Wrong Item Shipped
377,132148,2024-08-28,Size Issue
378,430193,2024-03-08,Wrong Item Shipped
379,153071,2024-10-17,Wrong Item Shipped
380,106099,2024-08-17,Changed Mind
381,59613,2024-09-24,Changed Mind
382,504025,2024-06-02,Wrong Item Shipped
383,487241,2024-12-26,Wrong Item Shipped
384,424536,2024-12-04,Changed Mind
385,601120,2024-03-18,Size Issue
386,143915,2024-02-04,Defective Product
387,170933,2024-07-08,Defective Product
388,270908,2024-07-26,Changed Mind
389,187312,2025-01-10,Defective Product
390,152589,2024-05-26,Arrived Damaged
391,243131,2024-07-07,Changed Mind
392,275158,2024-04-05,Changed Mind
393,134224,2024-09-10,Changed Mind
394,685971,2024-04-12,Changed Mind
395,663995,2024-09-03,Defective Product
396,439602,2024-06-14,Arrived Damaged
397,650503,2024-03-14,Wrong Item Shipped
398,67841,2024-08-05,Wrong Item Shipped
399,11746,2024-06-21,Changed Mind
400,159304,2024-07-27,Arrived Damaged
401,365730,2024-10-04,Defective Product
402,573866,2024-05-16,Defective Product
403,159226,2024-08-01,Defective Product
404,597720,2024-03-01,Arrived Damaged
405,505543,2024-04-03,Arrived Damaged
406,542790,2024-06-03,Arrived Damaged
407,660205,2024-10-22,Arrived Damaged
408,157064,2024-11-19,Changed Mind
409,512490,2024-04-03,Wrong Item Shipped
410,76432,2024-05-04,Wrong Item Shipped
411,194321,2024-06-16,Changed Mind
412,8101,2024-06-05,Changed Mind
413,924292,2024-10-09,Size Issue
414,62506,2024-03-17,Wrong Item Shipped
415,424669,2024-07-22,Arrived Damaged
416,588093,2024-05-10,Arrived Damaged
417,429757,2024-03-01,Arrived Damaged
418,162135,2024-10-12,Changed Mind
419,177896,2024-05-09,Size Issue
420,801290,2024-11-13,Defective Product
421,53867,2024-08-23,Defective Product
422,299237,2024-09-04,Size Issue
423,549601,2024-09-02,Size Issue
424,792580,2024-02-18,Defective Product
425,765697,2024-12-04,Defective Product
426,963006,2024-05-30,Changed Mind
427,315220,2024-06-17,Defective Product
428,956568,2024-10-10,Changed Mind
429,679623,2024-06-14,Changed Mind
430,71534,2024-12-14,Arrived Damaged
431,346654,2024-10-23,Changed Mind
432,150906,2024-02-08,Size Issue
433,779168,2024-11-04,Defective Product
434,246433,2024-09-11,Size Issue
435,808029,2024-11-10,Arrived Damaged
436,962342,2024-11-14,Arrived Damaged
437,336923,2024-06-01,Size Issue
438,117296,2024-03-09,Changed Mind
439,19491,2024-03-16,Size Issue
440,346493,2024-07-02,Defective Product
441,573417,2024-08-10,Defective Product
442,472706,2024-09-01,Size Issue
443,514777,2024-03-20,Defective Product
444,799446,2024-12-01,Size Issue
445,27155,2024-09-20,Arrived Damaged
446,926246,2024-04-04,Wrong Item Shipped
447,593109,2024-12-08,Changed Mind
448,664177,2024-10-08,Defective Product
449,20180,2024-03-11,Arrived Damaged
450,718672,2024-04-18,Size Issue
451,96414,2024-07-11,Arrived Damaged
452,343189,2024-10-23,Defective Product
453,7435,2024-03-08,Size Issue
454,24941,2024-11-21,Defective Product
455,332668,2024-10-07,Size Issue
456,641887,2025-01-09,Size Issue
457,500924,2024-09-20,Changed Mind
458,35099,2024-09-15,Changed Mind
459,510578,2024-10-08,Defective Product
460,791453,2024-04-04,Size Issue
461,177091,2024-12-09,Changed Mind
462,269324,2024-11-14,Defective Product
463,902438,2024-11-28,Changed Mind
464,157040,2024-08-20,Defective Product
465,243447,2024-11-18,Wrong Item Shipped
466,111852,2024-09-10,Changed Mind
467,342486,2024-01-13,Changed Mind
468,128425,2024-09-05,Defective Product
469,574402,2024-08-19,Defective Product
470,778306,2024-12-12,Defective Product
471,824639,2024-01-24,Size Issue
472,632696,2024-11-24,Defective Product
473,747688,2024-06-01,Arrived Damaged
474,601665,2024-06-03,Arrived Damaged
475,557172,2024-05-25,Changed Mind
476,661129,2024-06-25,Size Issue
477,600250,2024-07-01,Size Issue
478,275132,2024-05-23,Wrong Item Shipped
479,271432,2024-04-09,Changed Mind
480,213245,2024-10-12,Arrived Damaged
481,425996,2024-10-10,Wrong Item Shipped
482,248132,2024-03-23,Changed Mind
483,928434,2024-05-30,Wrong Item Shipped
484,136508,2024-12-03,Changed Mind
485,106780,2024-05-22,Wrong Item Shipped
486,184688,2024-04-26,Wrong Item Shipped
487,949729,2024-02-27,Changed Mind
488,145537,2024-02-26,Size Issue
489,609207,2024-07-09,Changed Mind
490,527720,2025-01-12,Wrong Item Shipped
491,834150,2024-04-17,Wrong Item Shipped
492,792711,2024-08-26,Wrong Item Shipped
493,649777,2024-05-17,Defective Product
494,150255,2024-02-27,Size Issue
495,217139,2024-08-21,Wrong Item Shipped
496,883034,2024-02-08,Defective Product
497,691024,2024-06-02,Defective Product
498,427924,2024-02-13,Arrived Damaged
499,812902,2024-05-23,Arrived Damaged
500,639084,2024-03-03,Arrived Damaged
501,646751,2024-04-07,Size Issue
502,200529,2024-12-27,Wrong Item Shipped
503,237996,2024-12-08,Changed Mind
504,634914,2024-08-30,Size Issue
505,782461,2025-01-06,Size Issue
506,430337,2024-05-29,Changed Mind
507,686653,2024-08-22,Changed Mind
508,370456,2024-11-11,Arrived Damaged
509,43493,2024-08-30,Defective Product
510,44747,2024-12-21,Defective Product
511,537206,2024-06-29,Wrong Item Shipped
512,107004,2024-12-08,Wrong Item Shipped
513,339831,2024-07-24,Changed Mind
514,897967,2024-08-18,Changed Mind
515,255509,2024-09-17,Arrived Damaged
516,424706,2024-03-18,Size Issue
517,24624,2024-11-20,Wrong Item Shipped
518,54375,2024-05-28,Changed Mind
519,491566,2024-03-13,Changed Mind
520,317410,2024-02-11,Changed Mind
521,789449,2024-06-23,Arrived Damaged
522,813839,2024-09-08,Defective Product
523,842975,2024-08-18,Defective Product
524,620260,2024-11-07,Arrived Damaged
525,723674,2024-06-26,Arrived Damaged
526,765515,2024-02-12,Changed Mind
527,156679,2024-01-31,Changed Mind
528,685978,2024-09-01,Wrong Item Shipped
529,663847,2025-01-16,Defective Product
530,401494,2024-03-06,Arrived Damaged
531,527322,2024-04-04,Size Issue
532,81030,2024-03-06,Defective Product
533,957807,2024-12-30,Arrived Damaged
534,248692,2024-09-16,Defective Product
535,185509,2024-03-24,Size Issue
536,313612,2024-02-12,Size Issue
537,692702,2024-02-18,Wrong Item Shipped
538,255792,2024-06-17,Changed Mind
539,811962,2024-03-16,Size Issue
540,88648,2024-08-22,Changed Mind
541,337986,2024-07-25,Wrong Item Shipped
542,659816,2024-07-04,Wrong Item Shipped
543,629446,2024-12-05,Size Issue
544,373857,2024-07-04,Wrong Item Shipped
545,769753,2024-09-12,Changed Mind
546,594094,2024-03-08,Defective Product
547,883473,2024-04-17,Defective Product
548,768548,2024-11-13,Arrived Damaged
549,962779,2024-11-28,Size Issue
550,539019,2024-10-27,Defective Product
551,788873,2024-12-21,Arrived Damaged
552,771755,2024-09-13,Wrong Item Shipped
553,779407,2024-02-02,Arrived Damaged
554,460744,2024-08-17,Defective Product
555,621940,2024-02-02,Arrived Damaged
556,166496,2024-07-07,Wrong Item Shipped
557,513109,2024-10-02,Size Issue
558,536901,2024-01-22,Wrong Item Shipped
559,948336,2024-08-13,Size Issue
560,956470,2024-08-25,Wrong Item Shipped
561,547481,2024-12-06,Changed Mind
562,778643,2024-10-29,Defective Product
563,589705,2024-11-27,Arrived Damaged
564,127194,2024-05-07,Wrong Item Shipped
565,21093,2024-10-02,Defective Product
566,309381,2024-03-13,Wrong Item Shipped
567,404265,2024-04-30,Wrong Item Shipped
568,148525,2024-10-10,Arrived Damaged
569,912833,2024-05-12,Arrived Damaged
570,30494,2024-11-19,Changed Mind
571,841961,2025-01-09,Size Issue
572,653523,2024-06-13,Changed Mind
573,99724,2024-05-01,Changed Mind
574,541836,2024-07-16,Arrived Damaged
575,438175,2024-09-04,Defective Product
576,298606,2024-06-24,Size Issue
577,835277,2024-03-13,Changed Mind
578,278460,2024-09-02,Arrived Damaged
579,921189,2024-01-24,Wrong Item Shipped
580,151369,2024-03-23,Wrong Item Shipped
581,90106,2024-04-03,Size Issue
582,781525,2024-04-16,Size Issue
583,15572,2024-02-12,Size Issue
584,243549,2024-03-27,Wrong Item Shipped
585,187697,2024-04-24,Wrong Item Shipped
586,290564,2024-09-22,Changed Mind
587,343321,2024-06-27,Arrived Damaged
588,578480,2024-01-14,Arrived Damaged
589,129952,2024-04-12,Defective Product
590,971424,2024-03-15,Defective Product
591,164816,2024-09-09,Size Issue
592,582738,2024-07-01,Size Issue
593,710186,2024-08-09,Size Issue
594,413276,2024-06-22,Changed Mind
595,135308,2024-04-08,Size Issue
596,86221,2024-01-19,Wrong Item Shipped
597,159371,2024-05-03,Defective Product
598,109993,2024-06-29,Changed Mind
599,883403,2024-01-30,Arrived Damaged
600,836223,2024-05-27,Size Issue
601,73378,2024-08-14,Wrong Item Shipped
602,625663,2024-03-24,Arrived Damaged
603,461569,2024-04-19,Size Issue
604,173376,2024-12-05,Wrong Item Shipped
605,433795,2024-03-22,Wrong Item Shipped
606,547216,2024-09-05,Changed Mind
607,15272,2025-01-09,Changed Mind
608,333038,2024-01-22,Size Issue
609,671711,2024-09-23,Arrived Damaged
610,939555,2024-07-21,Defective Product
611,519739,2024-11-08,Wrong Item Shipped
612,307745,2024-04-23,Size Issue
613,367649,2024-03-05,Wrong Item Shipped
614,948289,2024-12-09,Defective Product
615,240310,2024-10-19,Size Issue
616,527385,2024-02-06,Wrong Item Shipped
617,7053,2024-02-18,Defective Product
618,831789,2024-11-25,Wrong Item Shipped
619,155786,2024-04-03,Changed Mind
620,444363,2024-06-22,Wrong Item Shipped
621,92956,2024-12-08,Defective Product
622,25148,2024-09-30,Changed Mind
623,974354,2024-04-16,Wrong Item Shipped
624,536647,2024-02-09,Defective Product
625,670817,2024-07-18,Wrong Item Shipped
626,741646,2024-09-18,Arrived Damaged
627,282957,2024-04-03,Size Issue
628,122263,2024-11-18,Size Issue
629,288151,2024-05-15,Arrived Damaged
630,177230,2024-01-31,Defective Product
631,903231,2024-09-30,Wrong Item Shipped
632,140825,2024-08-27,Arrived Damaged
633,272385,2024-08-20,Changed Mind
634,254633,2024-08-06,Wrong Item Shipped
635,814509,2024-12-19,Changed Mind
636,603513,2024-07-29,Changed Mind
637,752546,2024-06-15,Size Issue
638,148779,2024-12-02,Size Issue
639,663128,2024-12-25,Defective Product
640,809888,2024-08-21,Wrong Item Shipped
641,278573,2024-05-30,Size Issue
642,877684,2024-09-27,Defective Product
643,203848,2024-02-14,Arrived Damaged
644,979571,2024-07-01,Changed Mind
645,195044,2024-04-28,Defective Product
646,376719,2024-04-23,Size Issue
647,352966,2024-09-19,Arrived Damaged
648,532962,2024-07-11,Size Issue
649,325235,2024-10-03,Changed Mind
650,243934,2024-04-27,Size Issue
651,761810,2024-02-07,Defective Product
652,974438,2024-06-09,Wrong Item Shipped
653,674429,2024-11-20,Size Issue
654,430008,2024-09-14,Changed Mind
655,405731,2024-04-16,Size Issue
656,857657,2024-09-17,Size Issue
657,664369,2024-04-15,Arrived Damaged
658,872829,2025-01-02,Defective Product
659,927208,2024-06-20,Changed Mind
660,131500,2024-06-10,Wrong Item Shipped
661,869485,2024-03-15,Size Issue
662,83433,2024-04-17,Wrong Item Shipped
663,566260,2024-07-12,Changed Mind
664,899350,2024-04-20,Defective Product
665,527415,2024-09-27,Changed Mind
666,147590,2024-12-06,Size Issue
667,600033,2024-05-13,Arrived Damaged
668,220462,2024-06-20,Wrong Item Shipped
669,514401,2024-11-18,Defective Product
670,746650,2024-11-10,Defective Product
671,823963,2024-11-20,Size Issue
672,828497,2024-07-26,Wrong Item Shipped
673,20209,2024-05-26,Wrong Item Shipped
674,15967,2024-05-26,Changed Mind
675,986387,2024-05-30,Size Issue
676,191703,2024-09-07,Size Issue
677,97398,2024-11-28,Changed Mind
678,233793,2024-01-15,Wrong Item Shipped
679,698964,2024-11-13,Arrived Damaged
680,541908,2024-07-18,Wrong Item Shipped
681,601398,2024-03-23,Defective Product
682,313990,2024-09-16,Arrived Damaged
683,636024,2024-03-03,Wrong Item Shipped
684,109908,2024-01-18,Defective Product
685,254473,2024-07-27,Changed Mind
686,938714,2024-07-11,Changed Mind
687,98206,2024-04-18,Defective Product
688,531444,2024-12-18,Arrived Damaged
689,233794,2024-02-28,Arrived Damaged
690,752390,2024-09-20,Wrong Item Shipped
691,627888,2024-04-06,Defective Product
692,121115,2024-03-05,Wrong Item Shipped
693,109781,2024-08-04,Arrived Damaged
694,159813,2024-09-03,Changed Mind
695,681612,2024-02-23,Size Issue
696,598170,2024-02-08,Defective Product
697,760146,2024-07-07,Size Issue
698,807990,2024-09-13,Wrong Item Shipped
699,270869,2024-11-13,Wrong Item Shipped
700,628395,2024-10-07,Wrong Item Shipped
701,993012,2024-02-19,Size Issue
702,907112,2024-09-07,Size Issue
703,25581,2024-04-14,Defective Product
704,241481,2024-06-16,Size Issue
705,622660,2024-12-24,Defective Product
